URL/Status Code,GET,POST,HEAD,Count
/,33,1,5,39
/.env,2,0,0,2
//bl/ecmapigw/webresources/ecmapigw.v3,0,9,0,9
/?XDEBUG_SESSION_START=phpstorm,2,0,0,2
/?dns=q80BAAABAAAAAAAAA3d3dwdleGFtcGxlA2NvbQAAAQAB,1,0,0,1
/CMS_BLK/,45,0,15,60
/CMS_BLK/BMS_Logout.jsp?v=3,10,0,0,10
/CMS_BLK/BMS_banner.jsp,30,0,0,30
/CMS_BLK/BMS_footer.jsp,34,0,0,34
/CMS_BLK/BMS_index.jsp?message=Session%20Expired....!!,139,0,0,139
/CMS_BLK/BMS_index.jsp?message=Successfully%20Logged%20Out...!!,6,0,0,6
/CMS_BLK/BMS_login.jsp?message=Password%20reset%20successfully.%20Please%20login%20with%20new%20password.,8,0,0,8
/CMS_BLK/CliFileUpload,0,4,0,4
/CMS_BLK/Compose/keyboard.js,3,0,0,3
/CMS_BLK/Controller.6d,29,235,14,278
/CMS_BLK/Controller.6d?featureId=AuditDetails&targetPage=/BMSaudit/AuditInfo.jsp&isCreate=true&isView=true&submenu=627,3,0,0,3
/CMS_BLK/Controller.6d?featureId=MyTaskBarGraph&targetPage=/MyTaskBarGraph/Home.jsp,46,0,0,46
/CMS_BLK/Controller.6d?featureId=MyTaskBarGraph&targetPage=/MyTaskBarGraph/MyTaskBarGraph.jsp,0,33,0,33
/CMS_BLK/Controller.6d?featureId=OfflineMsisdn&targetPage=/OfflineMsisdnReport/OfflineMsisdnReport.jsp&isView=false&submenu=877,3,0,0,3
/CMS_BLK/Controller.6d?featureId=SMSDashboard&isView=true&targetPage=/DashBoards/SMSDashboard.jsp,49,0,0,49
/CMS_BLK/Controller.6d?featureId=Statusreport&targetPage=/StatusReport/Home.jsp,37,0,0,37
/CMS_BLK/Controller.6d?featureId=Statusreport&targetPage=/StatusReport/Status_report.jsp&reloadId=null,0,43,0,43
/CMS_BLK/Controller.6d?featureId=TpsGraph&targetPage=/DashboardGraphs/DonutDelCountGraph.jsp&isDonut=true,27,0,0,27
/CMS_BLK/Controller.6d?featureId=TpsGraph&targetPage=/DashboardGraphs/HourlyCountGraph.jsp&isHourlyCount=true,43,0,0,43
/CMS_BLK/Controller.6d?featureId=TpsGraph&targetPage=/DashboardGraphs/HourlyInterfaceIdwiseGraph.jsp&isInterface=true,36,0,0,36
/CMS_BLK/Controller.6d?featureId=TpsGraph&targetPage=/DashboardGraphs/SmppUserwiseGraph.jsp&isSmppUserwise=true,18,0,0,18
/CMS_BLK/Controller.6d?featureId=TpsGraph&targetPage=/DashboardGraphs/TopTenUserGraph.jsp&isTopTen=true,15,0,0,15
/CMS_BLK/Controller.6d?featureId=UploadShortCode&isDownloadCli=true&userId=1&type=ALL&downloadType=3&targetPage=/UploadShortCode/DownloadOnline.jsp,2,0,0,2
/CMS_BLK/Controller.6d?featureId=UploadShortCode&targetPage=/UploadShortCode/ManageShortCode.jsp,0,7,0,7
/CMS_BLK/Controller.6d?featureId=UploadShortCode&targetPage=/UploadShortCode/ManageShortCode.jsp&isGet=FALSE&isCreate=FALSE&isView=TRUE&non_appr=true&submenu=718,2,0,0,2
/CMS_BLK/Controller.6d?featureId=UploadShortCode&targetPage=/UploadShortCode/ManageShortCode.jsp&submenu=715,22,0,0,22
/CMS_BLK/Controller.6d?featureId=UserOfflineReports&targetPage=/UserwiseDaywiseReport/UserwiseDaywise.jsp&submenu=1024,1,0,0,1
/CMS_BLK/Controller.6d?featureId=bulkPush&targetPage=/Compose/compose.jsp&isCreate=true&submenu=601,3,0,0,3
/CMS_BLK/Controller.6d?featureId=manageUser&targetPage=/ENTManageUser/ManageUser.jsp,0,3,0,3
/CMS_BLK/Controller.6d?featureId=manageUser&targetPage=/ENTManageUser/ManageUser.jsp&isCreate=TRUE&isView=TRUE&isBMS=FALSE&isCampaign=TRUE&submenu=623,17,0,0,17
/CMS_BLK/Controller.6d?featureId=profileInfo&targetPage=/ChangePassword/ManagePassword.jsp&submenu=625,1,0,0,1
/CMS_BLK/Controller.6d?featureId=role&isGet=true&submenu=638&isSearch=false&targetPage=/RubyRoleMgmt/ModifyRole.jsp?addEditDelete=false,1,0,0,1
/CMS_BLK/Controller.6d?isSearch=true&featureId=OnlineStatusReport&targetPage=/OnlineStatusReport/OnlineStatusreport.jsp&submenu=677,3,0,0,3
/CMS_BLK/Controller.6d?isSearch=true&isView=true&featureId=DeliveryOfflineReport&targetPage=/DeliveryOfflineReport/BMSDeliveryOfflineReport.jsp&submenu=685,1,0,0,1
/CMS_BLK/Controller.6d?isSearch=true&isView=true&featureId=DeliveryOnlineReport&targetPage=/DeliveryOnlineReport/BMSDeliveryOnlineReport.jsp&submenu=617,1,0,0,1
/CMS_BLK/DashBoard.jsp,41,0,0,41
/CMS_BLK/DashBoards/css/export.css,46,0,0,46
/CMS_BLK/DashBoards/css/style.css,48,0,0,48
/CMS_BLK/DashBoards/js/smsDashboard.js,48,0,0,48
/CMS_BLK/DashBoards/scripts/amcharts.js,49,0,0,49
/CMS_BLK/DashBoards/scripts/export.js,39,0,0,39
/CMS_BLK/DashBoards/scripts/light.js,47,0,0,47
/CMS_BLK/DashBoards/scripts/serial.js,39,0,0,39
/CMS_BLK/ForgotPassword.jsp,8,0,8,16
/CMS_BLK/GenerateOtp?userId=7003,2,0,0,2
/CMS_BLK/GenerateOtp?userId=7563,1,0,0,1
/CMS_BLK/GenerateOtp?userId=7981,2,0,0,2
/CMS_BLK/GenerateOtp?userId=8413,1,0,0,1
/CMS_BLK/GenerateOtp?userId=8466,1,0,0,1
/CMS_BLK/GenerateOtp?userId=8467,1,0,0,1
/CMS_BLK/GenerateOtp?userId=8609,1,0,0,1
/CMS_BLK/GenerateOtp?userId=8719,1,0,0,1
/CMS_BLK/GenerateOtp?userId=8773,1,0,0,1
/CMS_BLK/GenerateOtp?userId=8791,2,0,0,2
/CMS_BLK/GenerateOtp?userId=8800,1,0,0,1
